concentration,concentration.1,concentration.2,concentration.3,concentration.4,concentration.5,concentration.6,concentration.7,concentration.8,concentration.9,concentration.10,concentration.11,concentration.12,concentration.13,concentration.14,concentration.15,concentration.16,concentration.17,concentration.18,concentration.19,concentration.20,concentration.21,concentration.22,concentration.23,concentration.24,concentration.25,concentration.26,concentration.27,concentration.28,concentration.29,concentration.30,concentration.31,concentration.32,concentration.33,concentration.34,concentration.35,concentration.36,concentration.37,concentration.38,concentration.39,concentration.40,concentration.41,concentration.42,concentration.43,concentration.44,concentration.45,concentration.46,concentration.47,concentration.48,concentration.49,concentration.50,concentration.51,concentration.52,concentration.53,concentration.54,concentration.55,concentration.56,concentration.57,concentration.58,concentration
350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0
81790123.0,70987654.0,91049383.0,74074074.0,81790123.0,74074074.0,81790123.0,78703704.0,89506173.0,81790123.0,94135802.0,74074074.0,83333333.0,80246914.0,83333333.0,95679012.0,78703704.0,84876543.0,95679012.0,75617284.0,95679012.0,77160494.0,92592593.0,91049383.0,72530864.0,87962963.0,94135802.0,112654321.0,81790123.0,70987654.0,86419753.0,84876543.0,72530864.0,83333333.0,94135802.0,94135802.0,86419753.0,94135802.0,86419753.0,86419753.0,87962963.0,70987654.0,80246914.0,81790123.0,78703704.0,104938272.0,74074074.0,98765432.0,91049383.0,80246914.0,91049383.0,78703704.0,84876543.0,89506173.0,91049383.0,98765432.0,95679012.0,100308642.0,89506173.0,78703704.0
72530864.0,72530864.0,84876543.0,66358025.0,74074074.0,87962963.0,78703704.0,104938272.0,74074074.0,66358025.0,75617284.0,92592593.0,81790123.0,84876543.0,69444444.0,83333333.0,87962963.0,77160494.0,80246914.0,81790123.0,78703704.0,58641975.0,75617284.0,61728394.99999999,77160494.0,84876543.0,89506173.0,60185185.0,64814815.0,72530864.0,89506173.0,72530864.0,81790123.0,78703704.0,83333333.0,86419753.0,72530864.0,72530864.0,75617284.0,72530864.0,80246914.0,72530864.0,77160494.0,64814815.0,94135802.0,64814815.0,80246914.0,84876543.0,74074074.0,86419753.0,84876543.0,67901235.0,78703704.0,70987654.0,87962963.0,78703704.0,81790123.0,70987654.0,77160494.0,70987654.0
63271605.00000001,55555556.00000001,66358025.0,70987654.0,66358025.0,57098765.0,74074074.0,74074074.0,66358025.0,70987654.0,64814815.0,69444444.0,75617284.0,75617284.0,77160494.0,74074074.0,78703704.0,67901235.0,70987654.0,60185185.0,80246914.0,74074074.0,81790123.0,58641975.0,69444444.0,66358025.0,61728394.99999999,70987654.0,63271605.00000001,74074074.0,60185185.0,63271605.00000001,67901235.0,78703704.0,63271605.00000001,91049383.0,78703704.0,103395062.0,78703704.0,77160494.0,64814815.0,67901235.0,70987654.0,78703704.0,72530864.0,64814815.0,64814815.0,60185185.0,61728394.99999999,63271605.00000001,80246914.0,77160494.0,70987654.0,86419753.0,61728394.99999999,91049383.0,69444444.0,69444444.0,69444444.0,58641975.0
50925926.0,33950617.0,54012346.0,66358025.0,57098765.0,47839506.0,57098765.0,67901235.0,61728394.99999999,55555556.00000001,57098765.0,37037037.0,52469136.0,52469136.0,52469136.0,57098765.0,55555556.00000001,55555556.00000001,47839506.0,58641975.0,55555556.00000001,58641975.0,57098765.0,58641975.0,64814815.0,58641975.0,55555556.00000001,64814815.0,52469136.0,55555556.00000001,61728394.99999999,75617284.0,58641975.0,66358025.0,50925926.0,61728394.99999999,58641975.0,55555556.00000001,55555556.00000001,58641975.0,58641975.0,46296296.0,55555556.00000001,64814815.0,49382716.0,57098765.0,57098765.0,52469136.0,58641975.0,33950617.0,54012346.0,60185185.0,49382716.0,52469136.0,47839506.0,58641975.0,47839506.0,46296296.0,57098765.0,64814815.0
55555556.00000001,64814815.0,43209877.0,52469136.0,46296296.0,46296296.0,44753086.0,55555556.00000001,60185185.0,44753086.0,52469136.0,40123457.0,58641975.0,47839506.0,64814815.0,60185185.0,44753086.0,63271605.00000001,41666667.0,58641975.0,60185185.0,47839506.0,52469136.0,44753086.0,50925926.0,54012346.0,57098765.0,47839506.0,47839506.0,47839506.0,52469136.0,33950617.0,58641975.0,50925926.0,61728394.99999999,55555556.00000001,49382716.0,44753086.0,57098765.0,49382716.0,58641975.0,54012346.0,46296296.0,44753086.0,49382716.0,37037037.0,50925926.0,54012346.0,49382716.0,50925926.0,52469136.0,52469136.0,50925926.0,47839506.0,63271605.00000001,47839506.0,57098765.0,52469136.0,47839506.0,44753086.0
54012346.0,54012346.0,38580247.0,47839506.0,47839506.0,50925926.0,44753086.0,47839506.0,60185185.0,41666667.0,57098765.0,58641975.0,50925926.0,44753086.0,49382716.0,54012346.0,54012346.0,49382716.0,49382716.0,30864198.0,49382716.0,58641975.0,47839506.0,49382716.0,49382716.0,54012346.0,57098765.0,54012346.0,44753086.0,44753086.0,64814815.0,64814815.0,41666667.0,35493827.0,46296296.0,54012346.0,44753086.0,44753086.0,49382716.0,47839506.0,50925926.0,50925926.0,47839506.0,47839506.0,52469136.0,54012346.0,46296296.0,44753086.0,50925926.0,33950617.0,47839506.0,55555556.00000001,43209877.0,43209877.0,44753086.0,57098765.0,54012346.0,35493827.0,54012346.0,55555556.00000001
35493827.0,40123457.0,43209877.0,43209877.0,33950617.0,47839506.0,50925926.0,49382716.0,43209877.0,64814815.0,44753086.0,60185185.0,52469136.0,38580247.0,47839506.0,58641975.0,43209877.0,41666667.0,52469136.0,50925926.0,43209877.0,46296296.0,46296296.0,37037037.0,41666667.0,43209877.0,50925926.0,57098765.0,49382716.0,50925926.0,38580247.0,46296296.0,35493827.0,35493827.0,57098765.0,24691358.0,44753086.0,41666667.0,40123457.0,44753086.0,41666667.0,46296296.0,57098765.0,63271605.00000001,43209877.0,44753086.0,43209877.0,44753086.0,52469136.0,44753086.0,38580247.0,63271605.00000001,41666667.0,47839506.0,40123457.0,43209877.0,47839506.0,46296296.0,38580247.0,44753086.0
44753086.0,40123457.0,47839506.0,38580247.0,44753086.0,43209877.0,49382716.0,38580247.0,46296296.0,49382716.0,38580247.0,44753086.0,49382716.0,52469136.0,43209877.0,37037037.0,44753086.0,41666667.0,38580247.0,33950617.0,41666667.0,27777778.000000004,37037037.0,27777778.000000004,38580247.0,50925926.0,43209877.0,49382716.0,40123457.0,40123457.0,43209877.0,43209877.0,47839506.0,49382716.0,47839506.0,41666667.0,43209877.0,43209877.0,43209877.0,44753086.0,46296296.0,41666667.0,37037037.0,40123457.0,40123457.0,46296296.0,47839506.0,50925926.0,50925926.0,43209877.0,49382716.0,55555556.00000001,43209877.0,47839506.0,46296296.0,35493827.0,44753086.0,47839506.0,47839506.0,44753086.0
37037037.0,20061728.0,27777778.000000004,24691358.0,35493827.0,16975309.0,33950617.0,24691358.0,32407407.0,29320988.0,35493827.0,40123457.0,37037037.0,37037037.0,38580247.0,43209877.0,33950617.0,32407407.0,38580247.0,46296296.0,35493827.0,35493827.0,37037037.0,41666667.0,40123457.0,37037037.0,33950617.0,27777778.000000004,27777778.000000004,33950617.0,27777778.000000004,33950617.0,30864198.0,35493827.0,29320988.0,41666667.0,35493827.0,26234568.0,38580247.0,44753086.0,32407407.0,29320988.0,35493827.0,24691358.0,29320988.0,32407407.0,32407407.0,30864198.0,38580247.0,41666667.0,33950617.0,32407407.0,33950617.0,32407407.0,37037037.0,30864198.0,32407407.0,33950617.0,33950617.0,30864198.0
