concentration,concentration.1,concentration.2,concentration.3,concentration.4,concentration.5,concentration.6,concentration.7,concentration.8,concentration.9,concentration.10,concentration.11,concentration.12,concentration.13,concentration.14,concentration.15,concentration.16,concentration.17,concentration.18,concentration.19,concentration.20,concentration.21,concentration.22,concentration.23,concentration.24,concentration.25,concentration.26,concentration.27,concentration.28,concentration.29,concentration.30,concentration.31,concentration.32,concentration.33,concentration.34,concentration.35,concentration.36,concentration.37,concentration.38,concentration.39,concentration.40,concentration.41,concentration.42,concentration.43,concentration.44,concentration.45,concentration.46,concentration.47,concentration.48,concentration.49,concentration.50,concentration.51,concentration
350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0,350308642.0
81790123.0,92592593.0,92592593.0,91049383.0,94135802.0,86419753.0,87962963.0,87962963.0,77160494.0,92592593.0,75617284.0,94135802.0,94135802.0,94135802.0,94135802.0,70987654.0,89506173.0,69444444.0,87962963.0,106481481.0,81790123.0,103395062.0,103395062.0,103395062.0,77160494.0,70987654.0,86419753.0,60185185.0,60185185.0,98765432.0,87962963.0,80246914.0,80246914.0,80246914.0,67901235.0,101851852.0,87962963.0,66358025.0,66358025.0,66358025.0,81790123.0,77160494.0,91049383.0,103395062.0,103395062.0,103395062.0,86419753.0,91049383.0,74074074.0,64814815.0,64814815.0,74074074.0,75617284.0
83333333.0,78703704.0,78703704.0,81790123.0,81790123.0,75617284.0,61728394.99999999,61728394.99999999,86419753.0,101851852.0,81790123.0,72530864.0,72530864.0,72530864.0,84876543.0,63271605.00000001,81790123.0,81790123.0,77160494.0,60185185.0,72530864.0,74074074.0,74074074.0,74074074.0,78703704.0,74074074.0,81790123.0,84876543.0,84876543.0,91049383.0,67901235.0,74074074.0,81790123.0,81790123.0,77160494.0,89506173.0,66358025.0,64814815.0,64814815.0,64814815.0,74074074.0,89506173.0,77160494.0,55555556.00000001,55555556.00000001,55555556.00000001,81790123.0,89506173.0,91049383.0,81790123.0,81790123.0,86419753.0,89506173.0
77160494.0,74074074.0,74074074.0,83333333.0,69444444.0,78703704.0,52469136.0,52469136.0,70987654.0,44753086.0,66358025.0,83333333.0,83333333.0,83333333.0,78703704.0,84876543.0,72530864.0,72530864.0,70987654.0,83333333.0,77160494.0,78703704.0,78703704.0,78703704.0,72530864.0,86419753.0,67901235.0,78703704.0,78703704.0,72530864.0,94135802.0,74074074.0,77160494.0,77160494.0,63271605.00000001,66358025.0,70987654.0,74074074.0,74074074.0,74074074.0,64814815.0,67901235.0,60185185.0,91049383.0,91049383.0,91049383.0,77160494.0,70987654.0,80246914.0,66358025.0,66358025.0,63271605.00000001,63271605.00000001
50925926.0,66358025.0,66358025.0,50925926.0,63271605.00000001,55555556.00000001,55555556.00000001,55555556.00000001,44753086.0,69444444.0,52469136.0,58641975.0,58641975.0,58641975.0,52469136.0,58641975.0,58641975.0,54012346.0,54012346.0,52469136.0,57098765.0,67901235.0,67901235.0,67901235.0,61728394.99999999,40123457.0,64814815.0,74074074.0,74074074.0,64814815.0,58641975.0,60185185.0,50925926.0,50925926.0,66358025.0,40123457.0,61728394.99999999,60185185.0,60185185.0,60185185.0,54012346.0,46296296.0,58641975.0,58641975.0,58641975.0,58641975.0,55555556.00000001,54012346.0,47839506.0,64814815.0,64814815.0,60185185.0,64814815.0
55555556.00000001,63271605.00000001,63271605.00000001,52469136.0,61728394.99999999,44753086.0,64814815.0,64814815.0,57098765.0,52469136.0,58641975.0,66358025.0,66358025.0,66358025.0,49382716.0,37037037.0,50925926.0,55555556.00000001,58641975.0,60185185.0,54012346.0,23148148.0,23148148.0,23148148.0,46296296.0,44753086.0,43209877.0,50925926.0,50925926.0,52469136.0,55555556.00000001,49382716.0,72530864.0,72530864.0,55555556.00000001,57098765.0,49382716.0,57098765.0,57098765.0,57098765.0,41666667.0,44753086.0,57098765.0,58641975.0,58641975.0,58641975.0,55555556.00000001,49382716.0,44753086.0,44753086.0,44753086.0,46296296.0,46296296.0
44753086.0,46296296.0,46296296.0,50925926.0,55555556.00000001,49382716.0,47839506.0,47839506.0,54012346.0,58641975.0,49382716.0,46296296.0,46296296.0,46296296.0,46296296.0,47839506.0,44753086.0,58641975.0,52469136.0,44753086.0,44753086.0,54012346.0,54012346.0,54012346.0,49382716.0,47839506.0,47839506.0,40123457.0,40123457.0,43209877.0,47839506.0,55555556.00000001,38580247.0,38580247.0,46296296.0,35493827.0,43209877.0,54012346.0,54012346.0,54012346.0,47839506.0,63271605.00000001,44753086.0,55555556.00000001,55555556.00000001,55555556.00000001,40123457.0,50925926.0,52469136.0,54012346.0,54012346.0,50925926.0,50925926.0
46296296.0,38580247.0,38580247.0,43209877.0,38580247.0,35493827.0,43209877.0,43209877.0,43209877.0,50925926.0,47839506.0,52469136.0,52469136.0,52469136.0,49382716.0,37037037.0,41666667.0,41666667.0,44753086.0,44753086.0,49382716.0,38580247.0,38580247.0,38580247.0,41666667.0,37037037.0,50925926.0,43209877.0,43209877.0,54012346.0,49382716.0,40123457.0,50925926.0,50925926.0,40123457.0,40123457.0,55555556.00000001,41666667.0,41666667.0,41666667.0,49382716.0,49382716.0,35493827.0,58641975.0,58641975.0,58641975.0,49382716.0,40123457.0,38580247.0,63271605.00000001,63271605.00000001,38580247.0,38580247.0
37037037.0,41666667.0,41666667.0,35493827.0,32407407.0,49382716.0,23148148.0,23148148.0,35493827.0,40123457.0,44753086.0,33950617.0,33950617.0,33950617.0,43209877.0,35493827.0,43209877.0,43209877.0,43209877.0,47839506.0,41666667.0,46296296.0,46296296.0,46296296.0,37037037.0,38580247.0,35493827.0,41666667.0,41666667.0,37037037.0,47839506.0,47839506.0,35493827.0,35493827.0,46296296.0,61728394.99999999,47839506.0,47839506.0,47839506.0,47839506.0,43209877.0,30864198.0,44753086.0,46296296.0,46296296.0,46296296.0,37037037.0,43209877.0,49382716.0,55555556.00000001,55555556.00000001,41666667.0,38580247.0
40123457.0,44753086.0,44753086.0,26234568.0,24691358.0,30864198.0,29320988.0,29320988.0,38580247.0,38580247.0,44753086.0,41666667.0,41666667.0,41666667.0,32407407.0,20061728.0,41666667.0,47839506.0,29320988.0,30864198.0,33950617.0,41666667.0,41666667.0,41666667.0,35493827.0,41666667.0,38580247.0,33950617.0,33950617.0,43209877.0,26234568.0,29320988.0,33950617.0,33950617.0,35493827.0,33950617.0,27777778.000000004,32407407.0,32407407.0,32407407.0,26234568.0,33950617.0,37037037.0,41666667.0,41666667.0,41666667.0,27777778.000000004,44753086.0,32407407.0,32407407.0,32407407.0,33950617.0,33950617.0
